citric acid,residual sugar,pH,sulphates,alcohol,quality
0.32,2.5,3.29,0.62,10.1,5
0.1,1.4,3.28,0.61,9.2,5
0.26,1.9,3.3,0.53,9.8,5
0.15,3,3.33,0.59,12.8,6
0.21,1.9,3.34,0.47,10.5,5
0.21,2.3,3.4,0.54,10.1,6
0.21,2.4,3.4,0.53,10.1,6
0.27,2,3.26,0.58,9.8,6
0,1.2,4.01,0.59,12.5,6
0.46,2.2,3.18,0.69,11.9,6
0.27,2,3.26,0.58,9.8,6
0.68,1.7,2.9,1.33,9.1,6
0.34,2.6,3.26,0.66,10.1,5
0,1.2,4.01,0.59,12.5,6
0.42,1.8,3.18,0.55,11.4,5
0.39,1.8,3.18,0.82,11,7
0.24,1.7,3.39,0.6,10.6,6
0.24,1.7,3.39,0.6,10.6,6
0.24,1.7,3.39,0.6,10.6,6
0.24,1.7,3.39,0.6,10.6,6
0.11,1.8,3.34,0.52,9.3,5
0.26,2.1,3.29,0.56,9.8,6
0.26,2.1,3.29,0.56,9.8,6
0.26,3.8,3.26,0.46,9.2,5
0.1,1.7,3.09,0.43,9.7,6
0.22,2.2,3.18,0.51,9.6,5
0,2,3.39,0.52,10,5
0.02,2.4,3.38,0.66,12.6,6
0,1.4,3.36,0.45,9.5,5
0,1.4,3.36,0.45,9.5,5
0,1.4,3.36,0.45,9.5,5
0.02,1.7,3.36,0.54,10.5,6
0.02,1.7,3.36,0.54,10.5,6
0.02,1.7,3.36,0.54,10.5,6
0.02,1.7,3.37,0.51,10.4,6
0.02,1.7,3.36,0.54,10.5,6
0.48,2.6,3.09,0.53,11,5
0.24,2.3,3.25,0.53,10.2,6
0.01,2.1,3.52,0.56,11.4,5
0.03,1.8,3.34,0.39,9.5,5
0.03,1.8,3.34,0.39,9.5,5
0,2.8,3.41,0.52,10.8,5
0.29,2,3.34,0.57,10,5
0.01,2.3,3.32,0.51,11.8,6
0.03,1.9,3.37,0.46,10.3,5
0.03,1.9,3.37,0.46,10.3,5
0.03,2.3,3.35,0.52,10,5
0.25,1.8,3.36,0.44,10.1,5
0.25,1.8,3.36,0.44,10.1,5
0.24,2.5,3.6,0.59,11.1,6
0.17,5.4,3.28,0.5,9.5,5
0.4,1.4,3.07,0.65,10.03333333,6
0.31,2.3,3.24,0.56,10.9,5
0.14,2.5,3.36,0.54,10.1,5
0.4,1.4,3.07,0.65,10.03333333,6
0.27,2,3.29,0.48,9.8,4
0.02,1.9,3.46,0.53,11.8,6
0.09,2.2,3.18,0.62,9.5,5
0.08,1.7,3.24,0.5,9.8,5
0.3,2.2,3.25,1.18,10.5,6
0.32,2.1,3.27,0.5,9.8,6
0,1.6,3.33,0.37,10.4,4
0.51,1.7,3,1.17,9.2,5
0.56,3.1,3.21,1.03,11.6,6
0.51,1.7,3,1.17,9.2,5
0.27,3.8,3.24,0.45,9.3,5
0,1.2,3.32,0.51,9.8,3
0.26,2,3.26,0.52,9.9,5
0.2,1.4,3.11,0.46,10,5
0.26,2.3,3.71,0.62,12.2,6
0.15,2,3.29,0.51,9.9,6
0.02,2.6,3.36,0.62,10.8,6
0.02,2.6,3.36,0.62,10.8,6
0.09,1.8,3.38,0.45,9.6,5
0.22,2.1,3.3,0.49,9.9,5
0.22,2.1,3.3,0.49,9.9,5
0.15,1.8,3.19,0.5,9.5,5
0.25,3.4,3.19,0.42,9.2,5
0.07,1.8,3.3,0.58,9.6,5
0.07,1.8,3.3,0.58,9.6,5
0.31,6.1,3.35,0.68,10.3,5
0.02,2.2,3.1,0.53,9.7,5
0,2.3,3.58,0.59,12.5,6
0.22,2.4,3.37,0.58,11,5
0.06,1.3,3.17,0.48,9.8,5
0.25,2,3.3,0.48,10.2,5
0.14,3.9,3.32,0.48,9.2,5
0.1,1.6,3.31,0.65,9.55,6
0.1,1.6,3.31,0.65,9.55,5
0.26,2,3.28,0.52,9.9,5
0.12,2.2,3.52,0.62,10.2,7
0,2.2,3.42,0.72,11.1,6
0.21,2.1,3.25,0.51,9.9,5
0.21,2.1,3.25,0.51,9.9,5
0.42,2,3.44,0.82,11.9,6
0.33,1.7,3.23,1.1,10,8
0.39,2.6,3.43,0.62,10.7,6
0.3,2,3.28,0.9,11.3,7
0.34,5.1,3.22,0.94,10.9,6
0,2.1,3.54,0.93,10.7,6
0.36,2.2,3.27,1.01,12.4,7
0,2.1,3.54,0.93,10.7,6
0,1.8,3.5,0.44,11.9,6
0.4,2.4,3.56,0.73,10.6,6
0.34,5.1,3.22,0.94,10.9,6
0.25,2,3.04,0.9,10.1,5
0.59,2.2,3.2,0.78,9.6,5
0,1.6,3.56,0.84,9.4,5
0.59,2.2,3.2,0.78,9.6,5
0.33,2.5,3.35,0.77,12.1,7
0.01,1.6,3.16,0.46,9.8,5
0.21,2.2,3.27,0.45,9.9,5
0.01,1.6,3.16,0.46,9.8,5
0.18,1.6,3.34,0.58,9.4,5
0,2.1,3.39,0.84,11.4,6
0.09,3.9,3.5,0.67,11,4
0.37,1.4,3.26,0.7,9.6,6
0.37,1.4,3.26,0.7,9.6,6
0.37,1.8,3.41,0.71,12.1,6
0.33,2.5,3.3,0.58,11.2,5
0,1.9,3.31,0.63,11,5
0.4,2.2,3.33,0.93,11.3,5
0.24,1.8,3.37,0.62,10.4,5
0.31,2.1,3.26,0.54,9.9,6
0,1.6,3.48,0.85,11.7,6
0.16,1.8,3.42,0.74,10.1,7
0.37,15.4,3.18,0.77,9,6
0.37,15.4,3.18,0.77,9,6
0.38,1.6,3.15,0.65,8.5,5
0.29,4.8,3.53,0.54,11.1,5
0,1.7,3.41,0.47,10.3,5
0.02,2.2,3.32,0.68,11.06666667,6
0.32,2,3.23,0.73,11.3,7
0.19,5.2,3.16,0.52,9.566666667,6
0.02,1.9,3.4,0.75,9.8,5
0.2,1.75,3.38,0.49,11.7,5
0.02,2.2,3.32,0.68,11.1,6
0.19,5.2,3.16,0.52,9.6,6
0.02,1.9,3.4,0.75,9.8,5
0,1.9,3.4,0.74,9.7,5
0.01,1.9,3.4,0.73,9.7,5
0.31,2,3.23,0.76,11.3,8
0.32,2,3.23,0.73,11.3,7
0.44,2.7,3.33,0.78,11,7
0.02,2,3.35,0.76,11.6,7
0.33,1.9,3.41,0.58,9,5
0.63,2.2,3.21,0.69,10.9,6
0,1.6,3.5,0.63,10.9,6
0.06,1.8,3.3,0.5,10.55,6
0.33,1.9,3.41,0.58,9,5
0.4,1.7,3.39,0.6,10.5,5
0.35,1.7,3.32,0.8,11.9,7
0.09,2.3,3.41,0.68,10.4,6
0,2.1,3.59,0.61,10,4
0.03,2.3,3.36,0.58,10.4,6
0.01,2.4,3.34,0.53,10.8,6
0.1,1.7,3.41,0.67,9.7,5
0.1,1.7,3.41,0.67,9.7,5
0.32,2.1,3.3,0.65,10,7
0.08,2.3,3.52,0.57,11,4
0.32,2.1,3.3,0.65,10,7
0.05,2.1,3.31,0.55,9.7,3
0.11,1.4,2.88,0.47,9.7,5
0.08,3.75,3.43,0.52,12.6,5
0.6,2.6,3.38,0.79,11.1,6
0.08,1.8,3.38,0.54,11,5
0.5,13.8,3.16,0.75,8.8,5
0.11,2.2,3.54,0.88,13.56666667,7
0.5,13.8,3.16,0.75,8.8,5
0.11,2.2,3.54,0.88,13.6,7
0.05,5.7,3.4,0.52,10.2,3
0.6,3,3.39,0.68,10.6,5
0.03,1.5,3.66,0.62,10.1,4
0.6,3,3.39,0.68,10.6,5
0.54,2.1,3.33,0.57,10.3,4
0.44,1.5,3.35,0.61,10.7,5
0.06,2,3.53,0.64,10.9,4
0.16,2.1,3.37,0.55,9.7,5
0.21,2.1,3.38,0.6,10.3,5
0.05,1.9,3.52,0.78,10.6,5
0.04,1.7,3.72,0.58,11.4,5
0.1,2.1,3.44,0.76,10.8,6
0.49,1.8,3.39,0.56,12.4,6
0.04,1.7,3.72,0.58,11.4,5
0.06,1.6,3.57,0.54,11.95,5
0.26,1.9,3.26,0.59,9.7,5
0.09,1.4,3.42,0.7,10,7
0.02,1.9,3.35,0.81,10.6,6
0.26,1.9,3.26,0.59,9.7,5
0.03,2.3,3.45,0.63,11.5,6
0.04,2.3,3.53,0.58,10.8,6
0.03,2.3,3.45,0.63,11.5,6
0.04,1.5,3.26,0.53,9.6,5
0.29,4.3,3.16,0.53,9.4,5
0.18,2.4,3.31,0.54,9.8,5
0.39,2.5,3.51,0.69,11,6
0.57,2.3,3.36,0.55,11.4,6
0.02,1.8,3.55,0.63,9.95,3
0.05,2,3.51,0.66,10.8,6
0.57,2.3,3.36,0.55,11.4,6
0.6,2.1,3.38,0.72,10.6,6
0.4,1.8,3.28,0.7,11.1,5
0.21,2.2,3.47,0.77,9.7,6
0.04,2.1,3.44,0.67,9.8,5
0.04,2.2,3.53,0.65,10.4,6
0.15,1.8,3.33,0.6,10.5,6
0.21,4.1,3.53,0.72,9.233333333,6
0.21,4.1,3.53,0.72,9.25,6
0.25,2.3,3.42,0.97,10.6,5
0.06,2,3.38,0.83,10.3,6
0.46,2.2,3.32,0.63,10.5,5
0.08,2.6,3.44,0.58,10.2,5
0.06,2,3.38,0.83,10.3,6
0.2,1.9,3.39,0.43,9.05,4
0.25,2.3,3.42,0.97,10.6,5
0.25,2,3.34,0.6,10.4,5
0.19,2,3.39,0.78,10,6
0.08,2.1,3.33,0.64,9.7,5
0.08,2.2,3.3,0.65,9.6,6
0.07,1.7,3.29,0.66,10.8,6
0.49,2.2,3.31,0.67,10.1,6
0.08,2.1,3.42,0.6,10.2,6
0.09,2.2,3.42,0.69,11.3,6
0.1,2.8,3.6,0.66,10.2,5
0.13,2,3.21,0.68,9.9,6
0.3,1.9,3.39,0.61,9,5
0.14,2.4,3.42,0.62,11.7,7
0.13,2.2,3.36,0.59,9.7,6
0.08,1.9,3.6,0.68,10.3,6
0.08,1.9,3.5,0.64,10.2,6
0.09,2.5,3.57,0.63,12,5
0.32,1.8,3.46,0.78,9.9,5
0.08,4.4,3.56,0.63,11.6,6
0.29,2.2,3.4,0.76,10.9,7
0.02,1.9,3.3,0.56,10.75,6
0.42,2.2,3.25,0.57,10.4,6
0.43,2.3,3.17,0.81,11.2,7
0.33,1.8,3.36,0.64,10.1,6
0.02,2,3.36,0.61,10.2,5
0.1,1.6,3.55,0.51,12.1,5
0.5,2,3.1,0.58,10.4,5
0.3,1.8,3.24,0.7,11.4,8
0,2.3,3.45,0.53,9.5,5
0,2.3,3.44,0.54,9.4,5
0.01,3.7,3.51,0.66,11.3,6
0,2.2,3.41,0.6,9.4,5
0.02,2.4,3.54,0.6,11,6
0.17,1.7,3.44,0.68,10.55,7
0.04,2.2,3.53,0.56,9.9,5
0.02,2.4,3.54,0.6,11,6
0.33,6.7,3.22,0.56,9.5,5
0.26,2,3.21,0.52,9.9,5
0.26,2,3.21,0.52,9.9,5
0.26,2,3.21,0.52,9.9,5
0.13,2,3.29,0.54,10.1,5
0.13,2,3.29,0.54,10.1,5
0.13,2,3.29,0.54,10.1,5
0.02,1.9,3.39,0.82,10.9,6
0.64,2.1,3.34,0.71,11.2,6
0.13,2,3.29,0.54,10.1,5
0.13,1.6,3.34,0.59,9.2,5
0.14,1.9,3.48,0.57,11.5,6
0.53,2.2,3.37,0.93,12.4,6
0.14,2.2,3.44,0.65,11.1,6
0.32,2.2,3.33,0.51,9.5,5
0.2,2.4,3.58,0.67,12.5,6
0.78,13.9,3.39,0.48,10.5,6
0.4,2.2,3.26,0.64,11.8,6
0.63,1.6,3.3,0.78,10.8,6
0.15,5.1,3.54,0.6,11.9,6
0.15,1.8,3.42,0.67,11.3,6
0.09,1.7,3.54,0.6,11.3,5
0.33,2.4,3.36,0.6,11.9,6
0.09,1.7,3.54,0.6,11.3,5
0.1,2.6,3.57,0.5,11.9,5
0.29,2.1,3.33,0.62,9.8,5
0.44,2.4,3.29,0.8,11.6,7
0.44,2.6,3.3,0.84,11.5,6
0.41,2.4,3.34,0.85,11.4,6
0.11,1.8,3.55,0.66,10.9,6
0.33,2.5,3.27,0.78,12.8,6
0.2,7.8,3.29,0.54,9.2,5
0.15,1.8,3.32,0.82,11.6,6
0.09,1.7,3.67,0.56,11.6,6
0.13,2.3,3.42,0.75,11,6
0.08,1.9,3.42,0.82,9.5,6
0.08,2,3.45,0.58,10.5,5
0.1,2.2,3.52,0.76,11.2,6
0.13,2.3,3.42,0.75,11,6
0.12,2,3.57,0.71,10.2,5
0.47,3.6,3.39,0.66,11,6
